Symbol,HumanGeneID,Description,MitoCarta3.0_SubMitoLocalization,MitoCarta3.0_MitoPathways,is_qsite_core
NDUFAF6,137682,NADH:ubiquinone oxidoreductase complex assembly factor 6,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
NDUFB3,4709,NADH:ubiquinone oxidoreductase subunit B3,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFA13,51079,NADH:ubiquinone oxidoreductase subunit A13,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFAF7,55471,NADH:ubiquinone oxidoreductase complex assembly factor 7,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
NDUFA11,126328,NADH:ubiquinone oxidoreductase subunit A11,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NUBPL,80224,nucleotide binding protein like,Matrix,OXPHOS > Complex I > CI assembly factors | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS assembly factors,False
LYRM2,57226,LYR motif containing 2,Matrix,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
NDUFAF8,284184,NADH:ubiquinone oxidoreductase complex assembly factor 8,IMS,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
MT-ND2,4536,MTND2,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
MT-ND4,4538,"NADH dehydrogenase, subunit 4 (complex I)",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
MT-ND5,4540,"NADH dehydrogenase, subunit 5 (complex I)",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFB4,4710,NADH:ubiquinone oxidoreductase subunit B4,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFA1,4694,NADH:ubiquinone oxidoreductase subunit A1,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
NDUFAF2,91942,NADH:ubiquinone oxidoreductase complex assembly factor 2,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
ECSIT,51295,ECSIT signaling integrator,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
TIMMDC1,51300,translocase of inner mitochondrial membrane domain containing 1,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
MT-ND3,4537,"NADH dehydrogenase, subunit 3 (complex I)",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
TMEM126B,55863,transmembrane protein 126B,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
NDUFAF3,25915,NADH:ubiquinone oxidoreductase complex assembly factor 3,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
TMEM186,25880,transmembrane protein 186,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
DMAC2,55101,distal membrane arm assembly complex 2,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
FOXRED1,55572,FAD dependent oxidoreductase domain containing 1,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
MT-ND1,4535,"NADH dehydrogenase, subunit 1 (complex I)",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,True
COA1,55744,cytochrome c oxidase assembly factor 1 homolog,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,False
MT-ND4L,4539,"NADH dehydrogenase, subunit 4L (complex I)",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
DMAC1,90871,distal membrane arm assembly complex 1,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,False
NDUFB1,4707,NADH:ubiquinone oxidoreductase subunit B1,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
MT-ND6,4541,"NADH dehydrogenase, subunit 6 (complex I)",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,False
