axis,control,n_covered,n_pos,n_adv,auroc_all,auroc_hard,p_at_3,p_at_5,mean_score_pos,mean_score_adv,mean_score_clean,adv_confounded
toxcast_fingerprint,raw,19,6,6,0.756,0.528,0.722,0.633,0.505,0.515,0.123,True
toxcast_fingerprint,cytotox_controlled,19,6,6,0.769,0.556,0.778,0.633,0.529,0.535,0.15,True
