axis,control,n_covered,n_pos,n_adv,auroc_all,auroc_hard,p_at_3,p_at_5,mean_score_pos,mean_score_adv,mean_score_clean,adv_confounded
neural_specific,raw,14,7,6,0.571,0.512,0.714,0.8,0.424,0.376,0.0,True
neural_specific,viability_excluded,14,6,6,0.762,0.722,0.762,0.8,0.537,0.37,0.0,True
