axis,control,n_covered,n_pos,n_adv,auroc_all,auroc_hard,p_at_3,p_at_5,mean_score_pos,mean_score_adv,mean_score_clean,adv_confounded
structure_ECFP4,raw,27,12,6,0.467,0.417,0.389,0.3,0.065,0.071,0.073,True
structure_MACCS,raw,27,12,6,0.35,0.139,0.417,0.317,0.166,0.232,0.186,True
