p
http://aopkb.org/aop_ontology#AopContext
http://aopkb.org/aop_ontology#LifeStageContext
http://aopkb.org/aop_ontology#has_adverse_outcome
http://aopkb.org/aop_ontology#has_evidence
http://aopkb.org/aop_ontology#has_key_event
http://aopkb.org/aop_ontology#has_key_event_relationship
http://aopkb.org/aop_ontology#has_molecular_initiating_event
http://edamontology.org/operation_3799
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25688
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25725
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48192
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54571
http://purl.bioontology.org/ontology/NCBITAXON/131567
http://purl.obolibrary.org/obo/PATO_0000047
http://purl.org/dc/elements/1.1/creator
http://purl.org/dc/elements/1.1/description
http://purl.org/dc/elements/1.1/identifier
http://purl.org/dc/elements/1.1/source
http://purl.org/dc/elements/1.1/title
http://purl.org/dc/terms/abstract
http://purl.org/dc/terms/alternative
http://purl.org/dc/terms/created
http://purl.org/dc/terms/license
http://purl.org/dc/terms/modified
http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.w3.org/2000/01/rdf-schema#label
http://www.w3.org/2000/01/rdf-schema#seeAlso
http://xmlns.com/foaf/0.1/page
